source,target,weight
Писаренко В.В.(Взржд),Святаш Д.В.(Взржд),9
Писаренко В.В.(Взржд),Рябчин А.М.(Бтк),19
Писаренко В.В.(Взржд),Емец Л.А.(НФ),19
Писаренко В.В.(Взржд),Геращенко А.Ю.(НФ),9
Писаренко В.В.(Взржд),Герасимов А.В.(БПП),19
Писаренко В.В.(Взржд),Продан О.П.(БПП),19
Писаренко В.В.(Взржд),Сюмар В.П.(НФ),9
Писаренко В.В.(Взржд),Острикова Т.Г.(СмПм),19
Писаренко В.В.(Взржд),Заружко В.Л.(РпОЛ),9
Писаренко В.В.(Взржд),Сотник Е.С.(СмПм),9
Писаренко В.В.(Взржд),Шкрум А.И.(Бтк),19
Писаренко В.В.(Взржд),Ивченко В.Е.(Бтк),9
Писаренко В.В.(Взржд),Евтушок С.Н.(Бтк),9
Писаренко В.В.(Взржд),Берёза Б.Е.(Вне_Фр),9
Писаренко В.В.(Взржд),Петренко О.Н.(БПП),9
Писаренко В.В.(Взржд),Бандуров В.В.(Вл_Нр),9
Писаренко В.В.(Взржд),Звягильский Е.Л.(ОпБл),9
Писаренко В.В.(Взржд),Парубий А.В.(Вне_Фр),19
Писаренко В.В.(Взржд),Бурбак М.Ю.(НФ),28
Писаренко В.В.(Взржд),Березюк О.Р.(СмПм),28
Писаренко В.В.(Взржд),Ляшко О.В.(РпОЛ),19
Писаренко В.В.(Взржд),Соболев С.В.(Бтк),9
Писаренко В.В.(Взржд),Москаленко Я.Н.(Вл_Нр),28
Писаренко В.В.(Взржд),Домбровский А.Г.(БПП),19
Писаренко В.В.(Взржд),Пидлисецкий Л.Т.(СмПм),19
Писаренко В.В.(Взржд),Бондарь М.Л.(НФ),9
Писаренко В.В.(Взржд),Богдан Р.Д.(Бтк),9
Писаренко В.В.(Взржд),Ксенжук А.С.(НФ),9
Писаренко В.В.(Взржд),Чижмарь Ю.В.(РпОЛ),9
Писаренко В.В.(Взржд),Ливик А.П.(БПП),9
Писаренко В.В.(Взржд),Иванчук А.В.(НФ),9
Писаренко В.В.(Взржд),Сидорович Р.М.(СмПм),9
Писаренко В.В.(Взржд),Алексеев С.О.(БПП),19
Писаренко В.В.(Взржд),Воропаев Ю.Н.(ОпБл),9
Писаренко В.В.(Взржд),Соловей Ю.И.(БПП),9
Писаренко В.В.(Взржд),Кошелева А.В.(РпОЛ),9
Писаренко В.В.(Взржд),Фаермарк С.А.(НФ),9
Писаренко В.В.(Взржд),Чекита Г.Л.(БПП),9
Писаренко В.В.(Взржд),Кривенко В.В.(НФ),9
Писаренко В.В.(Взржд),Алексеев И.С.(НФ),19
Писаренко В.В.(Взржд),Войцицкая В.М.(СмПм),9
Писаренко В.В.(Взржд),Березкин С.С.(Взржд),9
Писаренко В.В.(Взржд),Довгий О.С.(Вл_Нр),9
Писаренко В.В.(Взржд),Шпенов Д.Ю.(ОпБл),9
Писаренко В.В.(Взржд),Голуб В.В.(Вне_Фр),9
Писаренко В.В.(Взржд),Опанасенко А.В.(СмПм),9
Писаренко В.В.(Взржд),Шипко А.Ф.(Взржд),9
Писаренко В.В.(Взржд),Маркевич Я.В.(СмПм),9
Писаренко В.В.(Взржд),Белькова О.В.(БПП),9
Писаренко В.В.(Взржд),Ризаненко П.А.(БПП),9
Писаренко В.В.(Взржд),Пинзеник П.В.(НФ),9
Писаренко В.В.(Взржд),Семенуха Р.С.(СмПм),9
Писаренко В.В.(Взржд),Андриевский Д.И.(БПП),9
Писаренко В.В.(Взржд),Гальченко А.В.(ОпБл),9
Писаренко В.В.(Взржд),Сташук В.Ф.(НФ),9
Писаренко В.В.(Взржд),Шинькович А.В.(БПП),9
Писаренко В.В.(Взржд),Ефимов М.В.(БПП),9
Писаренко В.В.(Взржд),Мартовицкий А.В.(ОпБл),9
Писаренко В.В.(Взржд),Тимошенко Ю.В.(Бтк),19
Писаренко В.В.(Взржд),Геращенко И.В.(Вне_Фр),9
Писаренко В.В.(Взржд),Сыроед О.И.(Вне_Фр),9
Писаренко В.В.(Взржд),Ищенко В.А.(БПП),9
Писаренко В.В.(Взржд),Лабазюк С.П.(Вл_Нр),9
Писаренко В.В.(Взржд),Спорыш И.Д.(БПП),9
Писаренко В.В.(Взржд),Гопко А.Н.(Вне_Фр),9
Писаренко В.В.(Взржд),Кривенко В.Н.(БПП),9
Писаренко В.В.(Взржд),Галасюк В.В.(РпОЛ),9
Писаренко В.В.(Взржд),Козаченко Л.П.(БПП),9
Писаренко В.В.(Взржд),Мельничук С.П.(Вл_Нр),9
Писаренко В.В.(Взржд),Юрык Т.З.(БПП),9
Писаренко В.В.(Взржд),Македон Ю.Н.(БПП),9
Писаренко В.В.(Взржд),Мирошниченко И.В.(СмПм),9
Писаренко В.В.(Взржд),Демчак Р.Е.(БПП),9
Писаренко В.В.(Взржд),Кацер-Бучковская Н.В.(НФ),9
Писаренко В.В.(Взржд),Князевич Р.П.(БПП),9
Писаренко В.В.(Взржд),Яницкий В.П.(БПП),9
Писаренко В.В.(Взржд),Черненко А.Н.(БПП),9
Писаренко В.В.(Взржд),Романюк Р.С.(БПП),9
Писаренко В.В.(Взржд),Помазанов А.В.(НФ),9
Писаренко В.В.(Взржд),Грановский А.М.(БПП),9
Писаренко В.В.(Взржд),Киссе А.И.(Взржд),9
Писаренко В.В.(Взржд),Жеваго К.В.(Вне_Фр),9
Писаренко В.В.(Взржд),Геллер Е.Б.(Взржд),9
Писаренко В.В.(Взржд),Королевская Н.Ю.(ОпБл),9
Писаренко В.В.(Взржд),Третьяков А.Ю.(БПП),9
Писаренко В.В.(Взржд),Ильенко А.Ю.(Вне_Фр),9
Писаренко В.В.(Взржд),Дунаев С.В.(ОпБл),9
Святаш Д.В.(Взржд),Южанина Н.П.(БПП),115
Святаш Д.В.(Взржд),Курячий М.П.(БПП),28
Святаш Д.В.(Взржд),Порошенко А.П.(БПП),28
Святаш Д.В.(Взржд),Галасюк В.В.(РпОЛ),28
Святаш Д.В.(Взржд),Хмель М.М.(НФ),19
Святаш Д.В.(Взржд),Лаврик Н.И.(БПП),19
Святаш Д.В.(Взржд),Горват Р.И.(БПП),28
Святаш Д.В.(Взржд),Крышин О.Ю.(НФ),9
Святаш Д.В.(Взржд),Кирш А.В.(НФ),19
Святаш Д.В.(Взржд),Острикова Т.Г.(СмПм),9
Святаш Д.В.(Взржд),Ефимов М.В.(БПП),19
Святаш Д.В.(Взржд),Ляшко О.В.(РпОЛ),48
Святаш Д.В.(Взржд),Романовский А.В.(НФ),19
Святаш Д.В.(Взржд),Фролов Н.А.(БПП),19
Святаш Д.В.(Взржд),Кривенко В.Н.(БПП),19
Святаш Д.В.(Взржд),Кираль С.И.(СмПм),19
Святаш Д.В.(Взржд),Сольвар Р.Н.(БПП),28
Святаш Д.В.(Взржд),Москаленко Я.Н.(Вл_Нр),19
Святаш Д.В.(Взржд),Герега А.В.(Вне_Фр),28
Святаш Д.В.(Взржд),Кобцев М.В.(БПП),38
Святаш Д.В.(Взржд),Гудзенко В.И.(БПП),9
Святаш Д.В.(Взржд),Евлахов А.С.(БПП),19
Святаш Д.В.(Взржд),Барна О.С.(БПП),9
Святаш Д.В.(Взржд),Юрык Т.З.(БПП),9
Святаш Д.В.(Взржд),Антонищак А.Ф.(БПП),28
Святаш Д.В.(Взржд),Заставный Р.И.(НФ),9
Святаш Д.В.(Взржд),Вознюк Ю.В.(НФ),19
Святаш Д.В.(Взржд),Демчак Р.Е.(БПП),57
Святаш Д.В.(Взржд),Довбенко М.В.(БПП),9
Святаш Д.В.(Взржд),Ризаненко П.А.(БПП),9
Святаш Д.В.(Взржд),Поляков М.А.(НФ),19
Святаш Д.В.(Взржд),Мирошниченко И.В.(СмПм),38
Святаш Д.В.(Взржд),Бурбак М.Ю.(НФ),9
Святаш Д.В.(Взржд),Домбровский А.Г.(БПП),19
Святаш Д.В.(Взржд),Кривошея Г.Г.(НФ),9
Святаш Д.В.(Взржд),Рябчин А.М.(Бтк),19
Святаш Д.В.(Взржд),Долженков А.В.(ОпБл),9
Святаш Д.В.(Взржд),Юринец О.В.(БПП),9
Святаш Д.В.(Взржд),Соловей Ю.И.(БПП),9
Святаш Д.В.(Взржд),Лунченко В.В.(НФ),19
Святаш Д.В.(Взржд),Петёвка В.В.(Вл_Нр),9
Святаш Д.В.(Взржд),Ярынич К.В.(БПП),19
Святаш Д.В.(Взржд),Маркевич Я.В.(СмПм),9
Святаш Д.В.(Взржд),Ивченко В.Е.(Бтк),38
Святаш Д.В.(Взржд),Мацола Р.Н.(БПП),19
Святаш Д.В.(Взржд),Кудлаенко С.В.(БПП),28
Святаш Д.В.(Взржд),Кодола А.М.(НФ),19
Святаш Д.В.(Взржд),Скуратовский С.И.(РпОЛ),19
Святаш Д.В.(Взржд),Чекита Г.Л.(БПП),19
Святаш Д.В.(Взржд),Рудик С.Я.(БПП),19
Святаш Д.В.(Взржд),Евтушок С.Н.(Бтк),19
Святаш Д.В.(Взржд),Крулько И.И.(Бтк),9
Святаш Д.В.(Взржд),Вадатурский А.А.(БПП),9
Святаш Д.В.(Взржд),Шинькович А.В.(БПП),19
Святаш Д.В.(Взржд),Македон Ю.Н.(БПП),19
Святаш Д.В.(Взржд),Мамчур Ю.В.(БПП),19
Святаш Д.В.(Взржд),Усов К.Г.(БПП),19
Святаш Д.В.(Взржд),Сидорчук В.В.(НФ),48
Святаш Д.В.(Взржд),Матузко Е.А.(БПП),19
Святаш Д.В.(Взржд),Мельниченко В.В.(БПП),19
Святаш Д.В.(Взржд),Березюк О.Р.(СмПм),9
Святаш Д.В.(Взржд),Дубневич Я.В.(БПП),9
Святаш Д.В.(Взржд),Урбанский А.И.(БПП),9
Святаш Д.В.(Взржд),Козаченко Л.П.(БПП),48
Святаш Д.В.(Взржд),Балога И.И.(Вне_Фр),9
Святаш Д.В.(Взржд),Рибчинский Е.Ю.(Вне_Фр),19
Святаш Д.В.(Взржд),Лопушанский А.Я.(БПП),9
Святаш Д.В.(Взржд),Дидыч В.В.(Вне_Фр),9
Святаш Д.В.(Взржд),Хлань С.В.(БПП),9
Святаш Д.В.(Взржд),Денисенко А.П.(Вне_Фр),9
Святаш Д.В.(Взржд),Кит А.Б.(БПП),9
Святаш Д.В.(Взржд),Брензович В.И.(БПП),9
Святаш Д.В.(Взржд),Бабий Ю.Ю.(НФ),9
Святаш Д.В.(Взржд),Кривенко В.В.(НФ),9
Святаш Д.В.(Взржд),Продан О.П.(БПП),67
Святаш Д.В.(Взржд),Ничипоренко В.Н.(Взржд),9
Святаш Д.В.(Взржд),Киселев А.Н.(ОпБл),9
Святаш Д.В.(Взржд),Журжий А.В.(СмПм),38
Святаш Д.В.(Взржд),Козак Т.Р.(ОпБл),9
Святаш Д.В.(Взржд),Кужель А.В.(Бтк),9
Святаш Д.В.(Взржд),Рыбалка С.В.(РпОЛ),9
Святаш Д.В.(Взржд),Лаврик О.В.(СмПм),19
Святаш Д.В.(Взржд),Фурсин И.Г.(Вл_Нр),38
Святаш Д.В.(Взржд),Романюк В.Н.(НФ),9
Святаш Д.В.(Взржд),Климов Л.М.(Взржд),9
Святаш Д.В.(Взржд),Драюк С.Е.(НФ),9
Святаш Д.В.(Взржд),Пинзеник П.В.(НФ),9
Святаш Д.В.(Взржд),Дроздик А.В.(НФ),9
Святаш Д.В.(Взржд),Вовк В.И.(РпОЛ),9
Святаш Д.В.(Взржд),Пацкан В.В.(БПП),9
Святаш Д.В.(Взржд),Геращенко А.Ю.(НФ),9
Святаш Д.В.(Взржд),Каплин С.Н.(БПП),9
Святаш Д.В.(Взржд),Мельничук И.И.(БПП),9
Святаш Д.В.(Взржд),Паламарчук Н.П.(БПП),9
Святаш Д.В.(Взржд),Папиев М.Н.(ОпБл),9
Святаш Д.В.(Взржд),Пастух Т.Т.(СмПм),9
Святаш Д.В.(Взржд),Шаповалов Ю.А.(Вне_Фр),9
Святаш Д.В.(Взржд),Тетерук А.А.(НФ),9
Святаш Д.В.(Взржд),Костенко П.П.(СмПм),9
Святаш Д.В.(Взржд),Ищенко В.А.(БПП),9
Святаш Д.В.(Взржд),Кутовой Т.В.(БПП),38
Святаш Д.В.(Взржд),Третьяков А.Ю.(БПП),38
