id_act,Амельченко Василий Васильевич,Витко Артем Леонидович,Вовк Виктор Иванович,Галасюк Виктор Валерьевич,Гулак Александр Михайлович,Заружко Валерия Леонидовна,Кириченко Алексей Николаевич,Корчинская Оксана Анатольевна,Кошелева Алена Владимировна,Куприенко Олег Васильевич,Ленский Алексей Алексеевич,Линько Дмитрий Владимирович,Лозовой Андрей Сергеевич,Ляшко Олег Валериевич,Мосийчук Игорь Владимирович,Попов Игорь Владимирович,Рыбалка Сергей Викторович,Силантьев Денис Олегович,Скуратовский Сергей Иванович,Чижмарь Юрий Васильевич,Шухевич Юрий-Богдан Романович
00000|1021908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,-0.25,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,-0.5
00000|1022008,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,1.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5
00000|1022108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5
00000|1031608,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1.0,1.0,-0.25,1.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5
00000|1052808,1.0,1.0,-0.25,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,-0.5,1.0,1.0,1.0,-0.25,1.0,1.0
00000|1053008,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,-0.25,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,-0.25,1.0,-0.5,-0.5
00000|1057608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.25,1.0,1.0,1.0,1.0,1.0,-0.25
00000|1057708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.25,1.0,1.0,1.0,1.0,1.0,1.0
00000|1057808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0
00000|1057908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0
00000|1067108,-0.25,-0.25,-0.5,-0.5,1.0,-0.25,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.25,-0.25,-0.25,-0.25,1.0,1.0,-0.25,-0.25,-0.5
00000|1067208,-0.25,-0.25,-0.5,-0.5,1.0,1.0,1.0,-0.5,1.0,-0.5,-0.5,1.0,-0.25,-0.25,-0.25,1.0,1.0,1.0,1.0,-0.25,-0.5
00000|1077508,1.0,-0.25,-0.25,-0.25,1.0,1.0,1.0,-0.25,1.0,-0.5,-0.25,1.0,-0.25,1.0,1.0,1.0,1.0,1.0,1.0,-0.25,1.0
00000|1077608,-0.25,-0.25,-0.25,-0.25,1.0,1.0,1.0,1.0,1.0,-0.5,-0.25,1.0,-0.25,-0.25,1.0,1.0,-0.25,1.0,1.0,-0.25,1.0
00000|1077708,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1.0,1.0,-0.5,-0.5,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1.0
00000|109508,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.5
00000|109608,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5
00000|1097108,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1.0,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-1.0,-0.5,-0.25,-0.25,-0.25,-0.25,-0.5
00000|1097208,-0.5,1.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-1.0,-0.5,-0.25,-0.25,-0.25,-1.0,-0.5
00000|1097308,-0.5,1.0,-0.25,-0.25,-0.25,-0.25,-0.25,-1.0,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-1.0,-0.5,-0.25,-0.25,-0.25,-0.25,-0.5
00000|1102908,-0.5,-0.25,-0.25,-0.25,1.0,-0.25,-0.25,-0.25,1.0,-0.5,-0.25,1.0,-0.5,-0.25,-0.25,-0.5,-0.25,-0.25,1.0,-0.25,-0.5
00000|1103008,-0.5,-0.25,-0.25,-0.25,1.0,-0.25,-0.25,-0.25,1.0,-0.5,-0.25,1.0,-0.5,-0.25,-0.25,-0.5,-0.25,-0.25,1.0,-0.25,-0.5
00000|1109208,-0.5,-0.25,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
00000|1109308,-0.5,-0.25,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,1.0,1.0
