fio,fr_8,vote
Евлахов Анатолий Сергеевич,"Фракция ""Блок Петра Порошенко""",1
Евтушок Сергей Николаевич,"Фракция ""ВО Батькивщина""",1
Едаков Ярослав Юрьевич,"Фракция ""Народный фронт""",1
Еднак Остап Владимирович,Вне фракции,3
Еленский Виктор Евгеньевич,"Фракция ""Народный фронт""",1
Емец Леонид Александрович,"Фракция ""Народный фронт""",3
Ефимов Максим Викторович,"Фракция ""Блок Петра Порошенко""",1
Иванчук Андрей Владимирович,"Фракция ""Народный фронт""",2
Ивахив Степан Петрович,"Депутатская группа ""Воля народа""",1
Ивченко Вадим Евгеньевич,"Фракция ""ВО Батькивщина""",1
Ильенко Андрей Юрьевич,Вне фракции,1
Ильюк Артем Александрович,Депутатская группа партии Возрождение,2
Ионова Мария Николаевна,"Фракция ""Блок Петра Порошенко""",1
Иоффе Юлий Яковлевич,"Фракция ""Оппозиционный блок""",1
Ищейкин Константин Евгеньевич,"Фракция ""Блок Петра Порошенко""",1
Ищенко Валерий Александрович,"Фракция ""Блок Петра Порошенко""",1
Абдуллин Александр Рафкатович,"Фракция ""ВО Батькивщина""",1
Алексеев Игорь Сергеевич,"Фракция ""Народный фронт""",1
Алексеев Сергей Олегович,"Фракция ""Блок Петра Порошенко""",1
Амельченко Василий Васильевич,"Фракция ""Радикальная Партия Олега Ляшко""",1
Андриевский Дмитрий Иосифович,"Фракция ""Блок Петра Порошенко""",1
Антонищак Андрей Федорович,"Фракция ""Блок Петра Порошенко""",1
Арешонков Владимир Юрьевич,"Фракция ""Блок Петра Порошенко""",1
Артюшенко Игорь Андреевич,"Фракция ""Блок Петра Порошенко""",1
Арьев Владимир Игоревич,"Фракция ""Блок Петра Порошенко""",1
Бабак Алёна Валерьевна,"Фракция ""Объединение Самопомощь""",1
Бабенко Валерий Борисович,"Фракция ""Народный фронт""",1
Бабий Юрий Юрьевич,"Фракция ""Народный фронт""",1
Бакулин Евгений Николаевич,"Фракция ""Оппозиционный блок""",1
Бакуменко Александр Борисович,"Фракция ""Блок Петра Порошенко""",1
Балицкий Евгений Витальевич,"Фракция ""Оппозиционный блок""",2
Балога Иван Иванович,Вне фракции,2
Балога Виктор Иванович,Вне фракции,1
Балога Павел Иванович,Вне фракции,2
Бандуров Владимир Владимирович,"Депутатская группа ""Воля народа""",1
Барвиненко Виталий Дмитриевич,Депутатская группа партии Возрождение,3
Барна Олег Степанович,"Фракция ""Блок Петра Порошенко""",1
Батенко Тарас Иванович,Вне фракции,3
Бахтеева Татьяна Дмитриевна,"Фракция ""Оппозиционный блок""",3
Безбах Яков Яковлевич,Вне фракции,2
Бендюженко Фёдор Владимирович,"Фракция ""Народный фронт""",1
Берёза Борислав Ефимович,Вне фракции,3
